,Newspaper,Year,Faces
358,GDL,1922,2
359,GDL,1922,0
360,GDL,1922,0
361,GDL,1922,0
362,GDL,1922,0
363,GDL,1922,0
364,GDL,1922,0
365,GDL,1922,0
366,GDL,1922,1
367,GDL,1922,0
368,GDL,1927,1
369,GDL,1927,0
370,GDL,1927,2
371,GDL,1927,0
372,GDL,1927,1
373,GDL,1927,0
374,GDL,1927,0
375,GDL,1927,0
376,GDL,1927,1
377,GDL,1927,0
378,GDL,1927,0
379,GDL,1927,0
380,GDL,1927,0
381,GDL,1927,0
382,GDL,1932,1
383,GDL,1932,0
384,GDL,1932,2
385,GDL,1932,0
386,GDL,1932,0
387,GDL,1932,0
388,GDL,1932,0
389,GDL,1932,0
390,GDL,1932,1
391,GDL,1932,0
392,GDL,1932,0
393,GDL,1932,0
394,GDL,1932,1
395,GDL,1932,0
396,GDL,1937,0
397,GDL,1937,0
398,GDL,1937,1
399,GDL,1937,0
400,GDL,1937,0
401,GDL,1937,0
402,GDL,1937,2
403,GDL,1937,0
404,GDL,1937,0
405,GDL,1937,0
406,GDL,1937,0
407,GDL,1937,0
408,GDL,1937,0
409,GDL,1937,0
410,GDL,1942,0
411,GDL,1942,0
412,GDL,1942,0
413,GDL,1942,0
414,GDL,1942,3
415,GDL,1942,0
416,GDL,1942,0
417,GDL,1942,0
418,GDL,1942,0
419,GDL,1942,0
420,GDL,1942,0
421,GDL,1942,0
422,GDL,1947,0
423,GDL,1947,0
424,GDL,1947,0
425,GDL,1947,1
426,GDL,1947,0
427,GDL,1947,0
428,GDL,1947,0
429,GDL,1947,0
430,GDL,1947,1
431,GDL,1947,1
432,GDL,1947,1
433,GDL,1947,0
434,GDL,1947,0
435,GDL,1947,0
436,GDL,1947,0
437,GDL,1947,0
438,GDL,1947,1
439,GDL,1947,0
440,GDL,1947,0
441,GDL,1947,0
442,GDL,1947,0
443,GDL,1947,1
444,GDL,1947,0
445,GDL,1947,0
446,GDL,1947,1
447,GDL,1947,0
448,GDL,1952,1
449,GDL,1952,0
450,GDL,1952,0
451,GDL,1952,1
452,GDL,1952,0
453,GDL,1952,0
454,GDL,1952,1
455,GDL,1952,0
456,GDL,1952,1
457,GDL,1952,0
458,GDL,1952,0
459,GDL,1952,0
460,GDL,1952,0
461,GDL,1952,0
462,GDL,1952,0
463,GDL,1952,1
464,GDL,1952,0
465,GDL,1952,0
466,GDL,1952,0
467,GDL,1952,0
468,GDL,1957,0
469,GDL,1957,0
470,GDL,1957,0
471,GDL,1957,0
472,GDL,1957,0
473,GDL,1957,0
474,GDL,1957,0
475,GDL,1957,0
476,GDL,1957,1
477,GDL,1957,0
478,GDL,1957,0
479,GDL,1957,0
480,GDL,1957,0
481,GDL,1957,0
482,GDL,1957,0
483,GDL,1957,0
484,GDL,1957,0
485,GDL,1957,1
486,GDL,1957,0
487,GDL,1957,0
